Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2016-05-23	u2016-05-23-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 59, day 1, 2016-05-23 [ParlaMint.ana]	2016-05-23	Unicameralism	7. ciklus	-	59. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2016-05-23	u2016-05-23-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 59, day 1, 2016-05-23 [ParlaMint.ana]	2016-05-23	Unicameralism	7. ciklus	-	59. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	TobiasJozsef	Tóbiás, József	M	1970	
ParlaMint-HU-en_2016-05-23	u2016-05-23-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 59, day 1, 2016-05-23 [ParlaMint.ana]	2016-05-23	Unicameralism	7. ciklus	-	59. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2016-05-23	u2016-05-23-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 59, day 1, 2016-05-23 [ParlaMint.ana]	2016-05-23	Unicameralism	7. ciklus	-	59. ülés	1. ülésnap	-	Reference	English	Regular	notMP	notMinister	Fidesz	Fidesz – Hungarian Civic Alliance	-	Right to far-right	DomotorCsaba	Dömötör, Csaba	M	1982	
ParlaMint-HU-en_2016-05-23	u2016-05-23-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 59, day 1, 2016-05-23 [ParlaMint.ana]	2016-05-23	Unicameralism	7. ciklus	-	59. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2016-05-23	u2016-05-23-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 59, day 1, 2016-05-23 [ParlaMint.ana]	2016-05-23	Unicameralism	7. ciklus	-	59. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 7th parliamentary term	Opposition	Centre to centre-left	SchmuckErzsebet	Schmuck, Erzsébet	F	1954	
ParlaMint-HU-en_2016-05-23	u2016-05-23-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 59, day 1, 2016-05-23 [ParlaMint.ana]	2016-05-23	Unicameralism	7. ciklus	-	59. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2016-05-23	u2016-05-23-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 59, day 1, 2016-05-23 [ParlaMint.ana]	2016-05-23	Unicameralism	7. ciklus	-	59. ülés	1. ülésnap	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	TallaiAndras	Tállai, András	M	1959	
ParlaMint-HU-en_2016-05-23	u2016-05-23-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 59, day 1, 2016-05-23 [ParlaMint.ana]	2016-05-23	Unicameralism	7. ciklus	-	59. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2016-05-23	u2016-05-23-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 59, day 1, 2016-05-23 [ParlaMint.ana]	2016-05-23	Unicameralism	7. ciklus	-	59. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	HollikIstvan	Hollik, István	M	1982	
ParlaMint-HU-en_2016-05-23	u2016-05-23-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 59, day 1, 2016-05-23 [ParlaMint.ana]	2016-05-23	Unicameralism	7. ciklus	-	59. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2016-05-23	u2016-05-23-11	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 59, day 1, 2016-05-23 [ParlaMint.ana]	2016-05-23	Unicameralism	7. ciklus	-	59. ülés	1. ülésnap	-	Reference	English	Regular	notMP	notMinister	Fidesz	Fidesz – Hungarian Civic Alliance	-	Right to far-right	DomotorCsaba	Dömötör, Csaba	M	1982	
ParlaMint-HU-en_2016-05-23	u2016-05-23-12	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 59, day 1, 2016-05-23 [ParlaMint.ana]	2016-05-23	Unicameralism	7. ciklus	-	59. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2016-05-23	u2016-05-23-13	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 59, day 1, 2016-05-23 [ParlaMint.ana]	2016-05-23	Unicameralism	7. ciklus	-	59. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	KosaLajos	Kósa, Lajos	M	1964	
ParlaMint-HU-en_2016-05-23	u2016-05-23-14	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 59, day 1, 2016-05-23 [ParlaMint.ana]	2016-05-23	Unicameralism	7. ciklus	-	59. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2016-05-23	u2016-05-23-15	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 59, day 1, 2016-05-23 [ParlaMint.ana]	2016-05-23	Unicameralism	7. ciklus	-	59. ülés	1. ülésnap	-	Reference	English	Regular	notMP	notMinister	Fidesz	Fidesz – Hungarian Civic Alliance	-	Right to far-right	DomotorCsaba	Dömötör, Csaba	M	1982	
