Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2015-03-05	u2015-03-05-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 29, day 4, 2015-03-05 [ParlaMint.ana]	2015-03-05	Unicameralism	7. ciklus	-	29. ülés	4. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2015-03-05	u2015-03-05-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 29, day 4, 2015-03-05 [ParlaMint.ana]	2015-03-05	Unicameralism	7. ciklus	-	29. ülés	4. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	KontratKaroly	Kontrát, Károly	M	1956	
ParlaMint-HU-en_2015-03-05	u2015-03-05-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 29, day 4, 2015-03-05 [ParlaMint.ana]	2015-03-05	Unicameralism	7. ciklus	-	29. ülés	4. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2015-03-05	u2015-03-05-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 29, day 4, 2015-03-05 [ParlaMint.ana]	2015-03-05	Unicameralism	7. ciklus	-	29. ülés	4. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	TothBertalan	Tóth, Bertalan	M	1975	
ParlaMint-HU-en_2015-03-05	u2015-03-05-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 29, day 4, 2015-03-05 [ParlaMint.ana]	2015-03-05	Unicameralism	7. ciklus	-	29. ülés	4. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2015-03-05	u2015-03-05-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 29, day 4, 2015-03-05 [ParlaMint.ana]	2015-03-05	Unicameralism	7. ciklus	-	29. ülés	4. ülésnap	-	Reference	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 7th parliamentary term	Opposition	Centre to centre-left	IkotityIstvan	Ikotity, István	M	1977	
ParlaMint-HU-en_2015-03-05	u2015-03-05-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 29, day 4, 2015-03-05 [ParlaMint.ana]	2015-03-05	Unicameralism	7. ciklus	-	29. ülés	4. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2015-03-05	u2015-03-05-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 29, day 4, 2015-03-05 [ParlaMint.ana]	2015-03-05	Unicameralism	7. ciklus	-	29. ülés	4. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	TuriKovacsBela	Turi-Kovács, Béla	M	1935	
ParlaMint-HU-en_2015-03-05	u2015-03-05-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 29, day 4, 2015-03-05 [ParlaMint.ana]	2015-03-05	Unicameralism	7. ciklus	-	29. ülés	4. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2015-03-05	u2015-03-05-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 29, day 4, 2015-03-05 [ParlaMint.ana]	2015-03-05	Unicameralism	7. ciklus	-	29. ülés	4. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	StaudtGabor	Staudt, Gábor	M	1983	
