Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2017-03-21	u2017-03-21-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 75, day 2, 2017-03-21 [ParlaMint.ana]	2017-03-21	Unicameralism	7. ciklus	-	75. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2017-03-21	u2017-03-21-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 75, day 2, 2017-03-21 [ParlaMint.ana]	2017-03-21	Unicameralism	7. ciklus	-	75. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 7th parliamentary term	Opposition	Centre to centre-left	SchmuckErzsebet	Schmuck, Erzsébet	F	1954	
ParlaMint-HU-en_2017-03-21	u2017-03-21-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 75, day 2, 2017-03-21 [ParlaMint.ana]	2017-03-21	Unicameralism	7. ciklus	-	75. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2017-03-21	u2017-03-21-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 75, day 2, 2017-03-21 [ParlaMint.ana]	2017-03-21	Unicameralism	7. ciklus	-	75. ülés	2. ülésnap	-	Reference	English	Guest	notMP	notMinister	Fidesz	Fidesz – Hungarian Civic Alliance	-	Right to far-right	CsepreghyNandor	Csepreghy, Nándor	M	1983	
ParlaMint-HU-en_2017-03-21	u2017-03-21-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 75, day 2, 2017-03-21 [ParlaMint.ana]	2017-03-21	Unicameralism	7. ciklus	-	75. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2017-03-21	u2017-03-21-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 75, day 2, 2017-03-21 [ParlaMint.ana]	2017-03-21	Unicameralism	7. ciklus	-	75. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	KunhalmiAgnes	Kunhalmi, Ágnes	F	1982	
ParlaMint-HU-en_2017-03-21	u2017-03-21-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 75, day 2, 2017-03-21 [ParlaMint.ana]	2017-03-21	Unicameralism	7. ciklus	-	75. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2017-03-21	u2017-03-21-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 75, day 2, 2017-03-21 [ParlaMint.ana]	2017-03-21	Unicameralism	7. ciklus	-	75. ülés	2. ülésnap	-	Reference	English	Regular	notMP	notMinister	Fidesz	Fidesz – Hungarian Civic Alliance	-	Right to far-right	DomotorCsaba	Dömötör, Csaba	M	1982	
ParlaMint-HU-en_2017-03-21	u2017-03-21-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 75, day 2, 2017-03-21 [ParlaMint.ana]	2017-03-21	Unicameralism	7. ciklus	-	75. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2017-03-21	u2017-03-21-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 75, day 2, 2017-03-21 [ParlaMint.ana]	2017-03-21	Unicameralism	7. ciklus	-	75. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
