Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2020-03-24	u2020-03-24-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 41, day 2, 2020-03-24 [ParlaMint.ana]	2020-03-24	Unicameralism	8. ciklus	-	41. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 8th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2020-03-24	u2020-03-24-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 41, day 2, 2020-03-24 [ParlaMint.ana]	2020-03-24	Unicameralism	8. ciklus	-	41. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	Párbeszéd-frakció	Parliamentary group of the Dialogue for Hungary in the 8th parliamentary term	Opposition	Centre-left to left	MellarTamas	Mellar, Tamás	M	1954	
ParlaMint-HU-en_2020-03-24	u2020-03-24-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 41, day 2, 2020-03-24 [ParlaMint.ana]	2020-03-24	Unicameralism	8. ciklus	-	41. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 8th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2020-03-24	u2020-03-24-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 41, day 2, 2020-03-24 [ParlaMint.ana]	2020-03-24	Unicameralism	8. ciklus	-	41. ülés	2. ülésnap	-	COVID	English	Regular	notMP	notMinister	Fidesz	Fidesz – Hungarian Civic Alliance	-	Right to far-right	OrbanBalazs	Orbán, Balázs András	M	1986	
ParlaMint-HU-en_2020-03-24	u2020-03-24-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 41, day 2, 2020-03-24 [ParlaMint.ana]	2020-03-24	Unicameralism	8. ciklus	-	41. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 8th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2020-03-24	u2020-03-24-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 41, day 2, 2020-03-24 [ParlaMint.ana]	2020-03-24	Unicameralism	8. ciklus	-	41. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 8th parliamentary term	Opposition	Centre to centre-left	CsardiAntal	Csárdi, Antal	M	1976	
ParlaMint-HU-en_2020-03-24	u2020-03-24-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 41, day 2, 2020-03-24 [ParlaMint.ana]	2020-03-24	Unicameralism	8. ciklus	-	41. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 8th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2020-03-24	u2020-03-24-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 41, day 2, 2020-03-24 [ParlaMint.ana]	2020-03-24	Unicameralism	8. ciklus	-	41. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
ParlaMint-HU-en_2020-03-24	u2020-03-24-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 41, day 2, 2020-03-24 [ParlaMint.ana]	2020-03-24	Unicameralism	8. ciklus	-	41. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 8th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2020-03-24	u2020-03-24-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 41, day 2, 2020-03-24 [ParlaMint.ana]	2020-03-24	Unicameralism	8. ciklus	-	41. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	DK-frakció	Parliamentary group of the Democratic Coalition in the 8th parliamentary term	Opposition	Centre-left	BoszAnett	Bősz, Anett	F	1986	
ParlaMint-HU-en_2020-03-24	u2020-03-24-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 41, day 2, 2020-03-24 [ParlaMint.ana]	2020-03-24	Unicameralism	8. ciklus	-	41. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 8th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2020-03-24	u2020-03-24-11	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 41, day 2, 2020-03-24 [ParlaMint.ana]	2020-03-24	Unicameralism	8. ciklus	-	41. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	VolnerPal	Völner, Pál	M	1962	
