Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2020-10-06	u2020-10-06-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 autumn, meeting 56, day 2, 2020-10-06 [ParlaMint.ana]	2020-10-06	Unicameralism	8. ciklus	-	56. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2020-10-06	u2020-10-06-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 autumn, meeting 56, day 2, 2020-10-06 [ParlaMint.ana]	2020-10-06	Unicameralism	8. ciklus	-	56. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	Párbeszéd-frakció	Parliamentary group of the Dialogue for Hungary in the 8th parliamentary term	Opposition	Centre-left to left	MellarTamas	Mellar, Tamás	M	1954	
ParlaMint-HU-en_2020-10-06	u2020-10-06-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 autumn, meeting 56, day 2, 2020-10-06 [ParlaMint.ana]	2020-10-06	Unicameralism	8. ciklus	-	56. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2020-10-06	u2020-10-06-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 autumn, meeting 56, day 2, 2020-10-06 [ParlaMint.ana]	2020-10-06	Unicameralism	8. ciklus	-	56. ülés	2. ülésnap	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	TallaiAndras	Tállai, András	M	1959	
ParlaMint-HU-en_2020-10-06	u2020-10-06-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 autumn, meeting 56, day 2, 2020-10-06 [ParlaMint.ana]	2020-10-06	Unicameralism	8. ciklus	-	56. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2020-10-06	u2020-10-06-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 autumn, meeting 56, day 2, 2020-10-06 [ParlaMint.ana]	2020-10-06	Unicameralism	8. ciklus	-	56. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 8th parliamentary term	Opposition	Centre to centre-left	SchmuckErzsebet	Schmuck, Erzsébet	F	1954	
ParlaMint-HU-en_2020-10-06	u2020-10-06-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 autumn, meeting 56, day 2, 2020-10-06 [ParlaMint.ana]	2020-10-06	Unicameralism	8. ciklus	-	56. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2020-10-06	u2020-10-06-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 autumn, meeting 56, day 2, 2020-10-06 [ParlaMint.ana]	2020-10-06	Unicameralism	8. ciklus	-	56. ülés	2. ülésnap	-	COVID	English	Guest	notMP	notMinister	KDNP	Christian Democratic People's Party	-	Right	SchandaTamasJanos	Schanda, Tamás János	M	1987	
ParlaMint-HU-en_2020-10-06	u2020-10-06-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 autumn, meeting 56, day 2, 2020-10-06 [ParlaMint.ana]	2020-10-06	Unicameralism	8. ciklus	-	56. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2020-10-06	u2020-10-06-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 autumn, meeting 56, day 2, 2020-10-06 [ParlaMint.ana]	2020-10-06	Unicameralism	8. ciklus	-	56. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	DK-frakció	Parliamentary group of the Democratic Coalition in the 8th parliamentary term	Opposition	Centre-left	AratoGergely	Arató, Gergely	M	1968	
