Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2017-03-13	u2017-03-13-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 74, day 4, 2017-03-13 [ParlaMint.ana]	2017-03-13	Unicameralism	7. ciklus	-	74. ülés	4. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2017-03-13	u2017-03-13-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 74, day 4, 2017-03-13 [ParlaMint.ana]	2017-03-13	Unicameralism	7. ciklus	-	74. ülés	4. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	VolnerJanos	Volner, János	M	1969	
ParlaMint-HU-en_2017-03-13	u2017-03-13-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 74, day 4, 2017-03-13 [ParlaMint.ana]	2017-03-13	Unicameralism	7. ciklus	-	74. ülés	4. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2017-03-13	u2017-03-13-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 74, day 4, 2017-03-13 [ParlaMint.ana]	2017-03-13	Unicameralism	7. ciklus	-	74. ülés	4. ülésnap	-	Reference	English	Regular	notMP	notMinister	Fidesz	Fidesz – Hungarian Civic Alliance	-	Right to far-right	DomotorCsaba	Dömötör, Csaba	M	1982	
ParlaMint-HU-en_2017-03-13	u2017-03-13-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 74, day 4, 2017-03-13 [ParlaMint.ana]	2017-03-13	Unicameralism	7. ciklus	-	74. ülés	4. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2017-03-13	u2017-03-13-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 74, day 4, 2017-03-13 [ParlaMint.ana]	2017-03-13	Unicameralism	7. ciklus	-	74. ülés	4. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	TothBertalan	Tóth, Bertalan	M	1975	
ParlaMint-HU-en_2017-03-13	u2017-03-13-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 74, day 4, 2017-03-13 [ParlaMint.ana]	2017-03-13	Unicameralism	7. ciklus	-	74. ülés	4. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2017-03-13	u2017-03-13-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 74, day 4, 2017-03-13 [ParlaMint.ana]	2017-03-13	Unicameralism	7. ciklus	-	74. ülés	4. ülésnap	-	Reference	English	Regular	notMP	notMinister	Fidesz	Fidesz – Hungarian Civic Alliance	-	Right to far-right	DomotorCsaba	Dömötör, Csaba	M	1982	
ParlaMint-HU-en_2017-03-13	u2017-03-13-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 74, day 4, 2017-03-13 [ParlaMint.ana]	2017-03-13	Unicameralism	7. ciklus	-	74. ülés	4. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2017-03-13	u2017-03-13-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 74, day 4, 2017-03-13 [ParlaMint.ana]	2017-03-13	Unicameralism	7. ciklus	-	74. ülés	4. ülésnap	-	Reference	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 7th parliamentary term	Opposition	Centre to centre-left	SchmuckErzsebet	Schmuck, Erzsébet	F	1954	
