Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2016-03-17	u2016-03-17-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 54, day 2, 2016-03-17 [ParlaMint.ana]	2016-03-17	Unicameralism	7. ciklus	-	54. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2016-03-17	u2016-03-17-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 54, day 2, 2016-03-17 [ParlaMint.ana]	2016-03-17	Unicameralism	7. ciklus	-	54. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	TothBertalan	Tóth, Bertalan	M	1975	
ParlaMint-HU-en_2016-03-17	u2016-03-17-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 54, day 2, 2016-03-17 [ParlaMint.ana]	2016-03-17	Unicameralism	7. ciklus	-	54. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2016-03-17	u2016-03-17-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 54, day 2, 2016-03-17 [ParlaMint.ana]	2016-03-17	Unicameralism	7. ciklus	-	54. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	AradszkiAndras	Aradszki, András	M	1956	
ParlaMint-HU-en_2016-03-17	u2016-03-17-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 54, day 2, 2016-03-17 [ParlaMint.ana]	2016-03-17	Unicameralism	7. ciklus	-	54. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2016-03-17	u2016-03-17-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 54, day 2, 2016-03-17 [ParlaMint.ana]	2016-03-17	Unicameralism	7. ciklus	-	54. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	FoldiLaszlo	Földi, László	M	1952	
ParlaMint-HU-en_2016-03-17	u2016-03-17-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 54, day 2, 2016-03-17 [ParlaMint.ana]	2016-03-17	Unicameralism	7. ciklus	-	54. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2016-03-17	u2016-03-17-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 54, day 2, 2016-03-17 [ParlaMint.ana]	2016-03-17	Unicameralism	7. ciklus	-	54. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
ParlaMint-HU-en_2016-03-17	u2016-03-17-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 54, day 2, 2016-03-17 [ParlaMint.ana]	2016-03-17	Unicameralism	7. ciklus	-	54. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2016-03-17	u2016-03-17-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 54, day 2, 2016-03-17 [ParlaMint.ana]	2016-03-17	Unicameralism	7. ciklus	-	54. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 7th parliamentary term	Opposition	Centre to centre-left	SallaiRBenedek	Sallai R., Benedek	M	1974	
ParlaMint-HU-en_2016-03-17	u2016-03-17-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 54, day 2, 2016-03-17 [ParlaMint.ana]	2016-03-17	Unicameralism	7. ciklus	-	54. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2016-03-17	u2016-03-17-11	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 54, day 2, 2016-03-17 [ParlaMint.ana]	2016-03-17	Unicameralism	7. ciklus	-	54. ülés	2. ülésnap	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	BitayMartonOrs	Bitay, Márton Örs	M	1980	
ParlaMint-HU-en_2016-03-17	u2016-03-17-12	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 54, day 2, 2016-03-17 [ParlaMint.ana]	2016-03-17	Unicameralism	7. ciklus	-	54. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
