Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2016-07-20	u2016-07-20-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 61, day 1, 2016-07-20 [ParlaMint.ana]	2016-07-20	Unicameralism	7. ciklus	-	61. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2016-07-20	u2016-07-20-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 61, day 1, 2016-07-20 [ParlaMint.ana]	2016-07-20	Unicameralism	7. ciklus	-	61. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 7th parliamentary term	Opposition	Centre to centre-left	SallaiRBenedek	Sallai R., Benedek	M	1974	
ParlaMint-HU-en_2016-07-20	u2016-07-20-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 61, day 1, 2016-07-20 [ParlaMint.ana]	2016-07-20	Unicameralism	7. ciklus	-	61. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2016-07-20	u2016-07-20-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 61, day 1, 2016-07-20 [ParlaMint.ana]	2016-07-20	Unicameralism	7. ciklus	-	61. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
ParlaMint-HU-en_2016-07-20	u2016-07-20-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 61, day 1, 2016-07-20 [ParlaMint.ana]	2016-07-20	Unicameralism	7. ciklus	-	61. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2016-07-20	u2016-07-20-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 61, day 1, 2016-07-20 [ParlaMint.ana]	2016-07-20	Unicameralism	7. ciklus	-	61. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	KunhalmiAgnes	Kunhalmi, Ágnes	F	1982	
ParlaMint-HU-en_2016-07-20	u2016-07-20-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 61, day 1, 2016-07-20 [ParlaMint.ana]	2016-07-20	Unicameralism	7. ciklus	-	61. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2016-07-20	u2016-07-20-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 61, day 1, 2016-07-20 [ParlaMint.ana]	2016-07-20	Unicameralism	7. ciklus	-	61. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	TuzsonBence	Tuzson, Bence	M	1972	
ParlaMint-HU-en_2016-07-20	u2016-07-20-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 61, day 1, 2016-07-20 [ParlaMint.ana]	2016-07-20	Unicameralism	7. ciklus	-	61. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2016-07-20	u2016-07-20-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 61, day 1, 2016-07-20 [ParlaMint.ana]	2016-07-20	Unicameralism	7. ciklus	-	61. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	HarrachPeter	Harrach, Péter	M	1947	
ParlaMint-HU-en_2016-07-20	u2016-07-20-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 61, day 1, 2016-07-20 [ParlaMint.ana]	2016-07-20	Unicameralism	7. ciklus	-	61. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
