Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2014-05-10	u2014-05-10-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 2, day 1, 2014-05-10 [ParlaMint.ana]	2014-05-10	Unicameralism	7. ciklus	-	2. ülés	1. ülésnap	-	Reference	English	Chairperson	notMP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	-	Right to far-right	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2014-05-10	u2014-05-10-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 2, day 1, 2014-05-10 [ParlaMint.ana]	2014-05-10	Unicameralism	7. ciklus	-	2. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	-	Right to far-right	OrbanViktor	Orbán, Viktor	M	1963	
ParlaMint-HU-en_2014-05-10	u2014-05-10-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 2, day 1, 2014-05-10 [ParlaMint.ana]	2014-05-10	Unicameralism	7. ciklus	-	2. ülés	1. ülésnap	-	Reference	English	Chairperson	notMP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	-	Right to far-right	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2014-05-10	u2014-05-10-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 2, day 1, 2014-05-10 [ParlaMint.ana]	2014-05-10	Unicameralism	7. ciklus	-	2. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	-	Right to far-right	OrbanViktor	Orbán, Viktor	M	1963	
ParlaMint-HU-en_2014-05-10	u2014-05-10-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 2, day 1, 2014-05-10 [ParlaMint.ana]	2014-05-10	Unicameralism	7. ciklus	-	2. ülés	1. ülésnap	-	Reference	English	Chairperson	notMP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	-	Right to far-right	KoverLaszlo	Kövér, László	M	1959	
