Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2015-09-29	u2015-09-29-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 autumn, meeting 44, day 1, 2015-09-29 [ParlaMint.ana]	2015-09-29	Unicameralism	7. ciklus	-	44. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2015-09-29	u2015-09-29-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 autumn, meeting 44, day 1, 2015-09-29 [ParlaMint.ana]	2015-09-29	Unicameralism	7. ciklus	-	44. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 7th parliamentary term	Opposition	Centre to centre-left	SchmuckErzsebet	Schmuck, Erzsébet	F	1954	
ParlaMint-HU-en_2015-09-29	u2015-09-29-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 autumn, meeting 44, day 1, 2015-09-29 [ParlaMint.ana]	2015-09-29	Unicameralism	7. ciklus	-	44. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2015-09-29	u2015-09-29-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 autumn, meeting 44, day 1, 2015-09-29 [ParlaMint.ana]	2015-09-29	Unicameralism	7. ciklus	-	44. ülés	1. ülésnap	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	SzaboLaszlo	Szabó, László	M	1965	
ParlaMint-HU-en_2015-09-29	u2015-09-29-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 autumn, meeting 44, day 1, 2015-09-29 [ParlaMint.ana]	2015-09-29	Unicameralism	7. ciklus	-	44. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2015-09-29	u2015-09-29-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 autumn, meeting 44, day 1, 2015-09-29 [ParlaMint.ana]	2015-09-29	Unicameralism	7. ciklus	-	44. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	KunhalmiAgnes	Kunhalmi, Ágnes	F	1982	
ParlaMint-HU-en_2015-09-29	u2015-09-29-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 autumn, meeting 44, day 1, 2015-09-29 [ParlaMint.ana]	2015-09-29	Unicameralism	7. ciklus	-	44. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2015-09-29	u2015-09-29-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 autumn, meeting 44, day 1, 2015-09-29 [ParlaMint.ana]	2015-09-29	Unicameralism	7. ciklus	-	44. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
ParlaMint-HU-en_2015-09-29	u2015-09-29-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 autumn, meeting 44, day 1, 2015-09-29 [ParlaMint.ana]	2015-09-29	Unicameralism	7. ciklus	-	44. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2015-09-29	u2015-09-29-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 autumn, meeting 44, day 1, 2015-09-29 [ParlaMint.ana]	2015-09-29	Unicameralism	7. ciklus	-	44. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	FoldiLaszlo	Földi, László	M	1952	
