Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2015-04-28	u2015-04-28-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 33, day 2, 2015-04-28 [ParlaMint.ana]	2015-04-28	Unicameralism	7. ciklus	-	33. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2015-04-28	u2015-04-28-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 33, day 2, 2015-04-28 [ParlaMint.ana]	2015-04-28	Unicameralism	7. ciklus	-	33. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 7th parliamentary term	Opposition	Centre to centre-left	IkotityIstvan	Ikotity, István	M	1977	
ParlaMint-HU-en_2015-04-28	u2015-04-28-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 33, day 2, 2015-04-28 [ParlaMint.ana]	2015-04-28	Unicameralism	7. ciklus	-	33. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2015-04-28	u2015-04-28-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 33, day 2, 2015-04-28 [ParlaMint.ana]	2015-04-28	Unicameralism	7. ciklus	-	33. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
ParlaMint-HU-en_2015-04-28	u2015-04-28-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 33, day 2, 2015-04-28 [ParlaMint.ana]	2015-04-28	Unicameralism	7. ciklus	-	33. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2015-04-28	u2015-04-28-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 33, day 2, 2015-04-28 [ParlaMint.ana]	2015-04-28	Unicameralism	7. ciklus	-	33. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	TothCsaba	Tóth, Csaba	M	1960	
ParlaMint-HU-en_2015-04-28	u2015-04-28-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 33, day 2, 2015-04-28 [ParlaMint.ana]	2015-04-28	Unicameralism	7. ciklus	-	33. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2015-04-28	u2015-04-28-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 33, day 2, 2015-04-28 [ParlaMint.ana]	2015-04-28	Unicameralism	7. ciklus	-	33. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
ParlaMint-HU-en_2015-04-28	u2015-04-28-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 33, day 2, 2015-04-28 [ParlaMint.ana]	2015-04-28	Unicameralism	7. ciklus	-	33. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2015-04-28	u2015-04-28-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 33, day 2, 2015-04-28 [ParlaMint.ana]	2015-04-28	Unicameralism	7. ciklus	-	33. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	NyitraiZsolt	Nyitrai, Zsolt	M	1977	
