Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2015-03-30	u2015-03-30-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2015-03-30	u2015-03-30-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	VolnerJanos	Volner, János	M	1969	
ParlaMint-HU-en_2015-03-30	u2015-03-30-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2015-03-30	u2015-03-30-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Guest	notMP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LSimonLaszlo	L. Simon, László	M	1972	
ParlaMint-HU-en_2015-03-30	u2015-03-30-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2015-03-30	u2015-03-30-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 7th parliamentary term	Opposition	Centre to centre-left	SzelBernadett	Szél, Bernadett	F	1977	
ParlaMint-HU-en_2015-03-30	u2015-03-30-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2015-03-30	u2015-03-30-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	TallaiAndras	Tállai, András	M	1959	
ParlaMint-HU-en_2015-03-30	u2015-03-30-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2015-03-30	u2015-03-30-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	HarrachPeter	Harrach, Péter	M	1947	
ParlaMint-HU-en_2015-03-30	u2015-03-30-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2015-03-30	u2015-03-30-11	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Guest	notMP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LSimonLaszlo	L. Simon, László	M	1972	
ParlaMint-HU-en_2015-03-30	u2015-03-30-12	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2015-03-30	u2015-03-30-13	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	LukacsZoltan	Lukács, Zoltán	M	1969	
ParlaMint-HU-en_2015-03-30	u2015-03-30-14	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2015-03-30	u2015-03-30-15	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	MagyarLevente	Magyar, Levente	M	1987	
ParlaMint-HU-en_2015-03-30	u2015-03-30-16	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2015-03-30	u2015-03-30-17	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	MagyarLevente	Magyar, Levente	M	1987	
ParlaMint-HU-en_2015-03-30	u2015-03-30-18	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2015-03-30	u2015-03-30-19	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	RoganAntal	Rogán, Antal	M	1972	
ParlaMint-HU-en_2015-03-30	u2015-03-30-20	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2015-03-30	u2015-03-30-21	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	TallaiAndras	Tállai, András	M	1959	
ParlaMint-HU-en_2015-03-30	u2015-03-30-22	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2015-03-30	u2015-03-30-23	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	GurNandor	Gúr, Nándor	M	1957	
ParlaMint-HU-en_2015-03-30	u2015-03-30-24	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2015-03-30	u2015-03-30-25	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	SzucsLajos	Szűcs, Lajos	M	1964	
ParlaMint-HU-en_2015-03-30	u2015-03-30-26	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2015-03-30	u2015-03-30-27	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	GurNandor	Gúr, Nándor	M	1957	
ParlaMint-HU-en_2015-03-30	u2015-03-30-28	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2015-03-30	u2015-03-30-29	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	SzakacsLaszlo	Szakács, László	M	1975	
ParlaMint-HU-en_2015-03-30	u2015-03-30-30	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2015-03-30	u2015-03-30-31	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
ParlaMint-HU-en_2015-03-30	u2015-03-30-32	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2015-03-30	u2015-03-30-33	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	TukacsIstvan	Tukacs, István	M	1958	
ParlaMint-HU-en_2015-03-30	u2015-03-30-34	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 31, day 1, 2015-03-30 [ParlaMint.ana]	2015-03-30	Unicameralism	7. ciklus	-	31. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
