Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2015-06-12	u2015-06-12-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 36, day 5, 2015-06-12 [ParlaMint.ana]	2015-06-12	Unicameralism	7. ciklus	-	36. ülés	5. ülésnap	-	Reference	English	Chairperson	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	SneiderTamas	Sneider, Tamás	M	1972	
ParlaMint-HU-en_2015-06-12	u2015-06-12-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 36, day 5, 2015-06-12 [ParlaMint.ana]	2015-06-12	Unicameralism	7. ciklus	-	36. ülés	5. ülésnap	-	Reference	English	Guest	notMP	Minister	-	-	-	-	TrocsanyiLaszlo	Trócsányi, László	M	1956	
ParlaMint-HU-en_2015-06-12	u2015-06-12-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 36, day 5, 2015-06-12 [ParlaMint.ana]	2015-06-12	Unicameralism	7. ciklus	-	36. ülés	5. ülésnap	-	Reference	English	Chairperson	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	SneiderTamas	Sneider, Tamás	M	1972	
ParlaMint-HU-en_2015-06-12	u2015-06-12-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 36, day 5, 2015-06-12 [ParlaMint.ana]	2015-06-12	Unicameralism	7. ciklus	-	36. ülés	5. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	DemeterZoltan	Demeter, Zoltán	M	1963	
ParlaMint-HU-en_2015-06-12	u2015-06-12-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 36, day 5, 2015-06-12 [ParlaMint.ana]	2015-06-12	Unicameralism	7. ciklus	-	36. ülés	5. ülésnap	-	Reference	English	Chairperson	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	SneiderTamas	Sneider, Tamás	M	1972	
ParlaMint-HU-en_2015-06-12	u2015-06-12-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 36, day 5, 2015-06-12 [ParlaMint.ana]	2015-06-12	Unicameralism	7. ciklus	-	36. ülés	5. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	BarandyGergely	Bárándy, Gergely	M	1976	
ParlaMint-HU-en_2015-06-12	u2015-06-12-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 36, day 5, 2015-06-12 [ParlaMint.ana]	2015-06-12	Unicameralism	7. ciklus	-	36. ülés	5. ülésnap	-	Reference	English	Chairperson	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	SneiderTamas	Sneider, Tamás	M	1972	
ParlaMint-HU-en_2015-06-12	u2015-06-12-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 36, day 5, 2015-06-12 [ParlaMint.ana]	2015-06-12	Unicameralism	7. ciklus	-	36. ülés	5. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	RubovszkyGyorgy	Rubovszky, György	M	1944	
ParlaMint-HU-en_2015-06-12	u2015-06-12-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 36, day 5, 2015-06-12 [ParlaMint.ana]	2015-06-12	Unicameralism	7. ciklus	-	36. ülés	5. ülésnap	-	Reference	English	Chairperson	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	SneiderTamas	Sneider, Tamás	M	1972	
ParlaMint-HU-en_2015-06-12	u2015-06-12-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 36, day 5, 2015-06-12 [ParlaMint.ana]	2015-06-12	Unicameralism	7. ciklus	-	36. ülés	5. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	StaudtGabor	Staudt, Gábor	M	1983	
ParlaMint-HU-en_2015-06-12	u2015-06-12-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 36, day 5, 2015-06-12 [ParlaMint.ana]	2015-06-12	Unicameralism	7. ciklus	-	36. ülés	5. ülésnap	-	Reference	English	Chairperson	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	SneiderTamas	Sneider, Tamás	M	1972	
ParlaMint-HU-en_2015-06-12	u2015-06-12-11	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 36, day 5, 2015-06-12 [ParlaMint.ana]	2015-06-12	Unicameralism	7. ciklus	-	36. ülés	5. ülésnap	-	Reference	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 7th parliamentary term	Opposition	Centre to centre-left	SchifferAndras	Schiffer, András	M	1971	
ParlaMint-HU-en_2015-06-12	u2015-06-12-12	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 36, day 5, 2015-06-12 [ParlaMint.ana]	2015-06-12	Unicameralism	7. ciklus	-	36. ülés	5. ülésnap	-	Reference	English	Chairperson	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	SneiderTamas	Sneider, Tamás	M	1972	
ParlaMint-HU-en_2015-06-12	u2015-06-12-13	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 36, day 5, 2015-06-12 [ParlaMint.ana]	2015-06-12	Unicameralism	7. ciklus	-	36. ülés	5. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	BarandyGergely	Bárándy, Gergely	M	1976	
ParlaMint-HU-en_2015-06-12	u2015-06-12-14	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 36, day 5, 2015-06-12 [ParlaMint.ana]	2015-06-12	Unicameralism	7. ciklus	-	36. ülés	5. ülésnap	-	Reference	English	Chairperson	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	SneiderTamas	Sneider, Tamás	M	1972	
ParlaMint-HU-en_2015-06-12	u2015-06-12-15	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 36, day 5, 2015-06-12 [ParlaMint.ana]	2015-06-12	Unicameralism	7. ciklus	-	36. ülés	5. ülésnap	-	Reference	English	Guest	notMP	Minister	-	-	-	-	TrocsanyiLaszlo	Trócsányi, László	M	1956	
ParlaMint-HU-en_2015-06-12	u2015-06-12-16	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 36, day 5, 2015-06-12 [ParlaMint.ana]	2015-06-12	Unicameralism	7. ciklus	-	36. ülés	5. ülésnap	-	Reference	English	Chairperson	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	SneiderTamas	Sneider, Tamás	M	1972	
ParlaMint-HU-en_2015-06-12	u2015-06-12-17	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 36, day 5, 2015-06-12 [ParlaMint.ana]	2015-06-12	Unicameralism	7. ciklus	-	36. ülés	5. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	StaudtGabor	Staudt, Gábor	M	1983	
ParlaMint-HU-en_2015-06-12	u2015-06-12-18	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 36, day 5, 2015-06-12 [ParlaMint.ana]	2015-06-12	Unicameralism	7. ciklus	-	36. ülés	5. ülésnap	-	Reference	English	Chairperson	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	SneiderTamas	Sneider, Tamás	M	1972	
ParlaMint-HU-en_2015-06-12	u2015-06-12-19	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 36, day 5, 2015-06-12 [ParlaMint.ana]	2015-06-12	Unicameralism	7. ciklus	-	36. ülés	5. ülésnap	-	Reference	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 7th parliamentary term	Opposition	Centre to centre-left	SchifferAndras	Schiffer, András	M	1971	
ParlaMint-HU-en_2015-06-12	u2015-06-12-20	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 36, day 5, 2015-06-12 [ParlaMint.ana]	2015-06-12	Unicameralism	7. ciklus	-	36. ülés	5. ülésnap	-	Reference	English	Chairperson	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	SneiderTamas	Sneider, Tamás	M	1972	
ParlaMint-HU-en_2015-06-12	u2015-06-12-21	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 36, day 5, 2015-06-12 [ParlaMint.ana]	2015-06-12	Unicameralism	7. ciklus	-	36. ülés	5. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	BarandyGergely	Bárándy, Gergely	M	1976	
ParlaMint-HU-en_2015-06-12	u2015-06-12-22	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 36, day 5, 2015-06-12 [ParlaMint.ana]	2015-06-12	Unicameralism	7. ciklus	-	36. ülés	5. ülésnap	-	Reference	English	Chairperson	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	SneiderTamas	Sneider, Tamás	M	1972	
ParlaMint-HU-en_2015-06-12	u2015-06-12-23	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 36, day 5, 2015-06-12 [ParlaMint.ana]	2015-06-12	Unicameralism	7. ciklus	-	36. ülés	5. ülésnap	-	Reference	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 7th parliamentary term	Opposition	Centre to centre-left	SchifferAndras	Schiffer, András	M	1971	
ParlaMint-HU-en_2015-06-12	u2015-06-12-24	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 36, day 5, 2015-06-12 [ParlaMint.ana]	2015-06-12	Unicameralism	7. ciklus	-	36. ülés	5. ülésnap	-	Reference	English	Chairperson	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	SneiderTamas	Sneider, Tamás	M	1972	
ParlaMint-HU-en_2015-06-12	u2015-06-12-25	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 36, day 5, 2015-06-12 [ParlaMint.ana]	2015-06-12	Unicameralism	7. ciklus	-	36. ülés	5. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	StaudtGabor	Staudt, Gábor	M	1983	
ParlaMint-HU-en_2015-06-12	u2015-06-12-26	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 36, day 5, 2015-06-12 [ParlaMint.ana]	2015-06-12	Unicameralism	7. ciklus	-	36. ülés	5. ülésnap	-	Reference	English	Chairperson	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	SneiderTamas	Sneider, Tamás	M	1972	
ParlaMint-HU-en_2015-06-12	u2015-06-12-27	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2015 spring, meeting 36, day 5, 2015-06-12 [ParlaMint.ana]	2015-06-12	Unicameralism	7. ciklus	-	36. ülés	5. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	RepassyRobert	Répássy, Róbert	M	1968	
