Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2022-11-10	u2022-11-10-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2022 autumn, meeting 16, day 3, 2022-11-10 [ParlaMint]	2022-11-10	Unicameralism	9. ciklus	-	16. ülés	3. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 9th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2022-11-10	u2022-11-10-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2022 autumn, meeting 16, day 3, 2022-11-10 [ParlaMint]	2022-11-10	Unicameralism	9. ciklus	-	16. ülés	3. ülésnap	-	COVID,War	English	Guest	notMP	notMinister	-	-	-	-	SteinerAttila	Steiner, Attila	M	1982	
ParlaMint-HU-en_2022-11-10	u2022-11-10-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2022 autumn, meeting 16, day 3, 2022-11-10 [ParlaMint]	2022-11-10	Unicameralism	9. ciklus	-	16. ülés	3. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 9th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2022-11-10	u2022-11-10-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2022 autumn, meeting 16, day 3, 2022-11-10 [ParlaMint]	2022-11-10	Unicameralism	9. ciklus	-	16. ülés	3. ülésnap	-	COVID,War	English	Guest	notMP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 9th parliamentary term	Coalition	Right to far-right	SzeberenyiGyulaTamas	Szeberényi, Gyula Tamás	M	1967	
ParlaMint-HU-en_2022-11-10	u2022-11-10-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2022 autumn, meeting 16, day 3, 2022-11-10 [ParlaMint]	2022-11-10	Unicameralism	9. ciklus	-	16. ülés	3. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 9th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2022-11-10	u2022-11-10-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2022 autumn, meeting 16, day 3, 2022-11-10 [ParlaMint]	2022-11-10	Unicameralism	9. ciklus	-	16. ülés	3. ülésnap	-	COVID,War	English	Regular	MP	notMinister	DK-frakció	Parliamentary group of the Democratic Coalition in the 9th parliamentary term	Opposition	Centre-left	VarjuLaszlo	Varju, László	M	1961	
ParlaMint-HU-en_2022-11-10	u2022-11-10-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2022 autumn, meeting 16, day 3, 2022-11-10 [ParlaMint]	2022-11-10	Unicameralism	9. ciklus	-	16. ülés	3. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 9th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2022-11-10	u2022-11-10-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2022 autumn, meeting 16, day 3, 2022-11-10 [ParlaMint]	2022-11-10	Unicameralism	9. ciklus	-	16. ülés	3. ülésnap	-	COVID,War	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 9th parliamentary term	Coalition	Right	AradszkiAndras	Aradszki, András	M	1956	
ParlaMint-HU-en_2022-11-10	u2022-11-10-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2022 autumn, meeting 16, day 3, 2022-11-10 [ParlaMint]	2022-11-10	Unicameralism	9. ciklus	-	16. ülés	3. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 9th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2022-11-10	u2022-11-10-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2022 autumn, meeting 16, day 3, 2022-11-10 [ParlaMint]	2022-11-10	Unicameralism	9. ciklus	-	16. ülés	3. ülésnap	-	COVID,War	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 9th parliamentary term	Opposition	Centre-left	HarangozoTamas	Harangozó, Tamás Attila	M	1979	
ParlaMint-HU-en_2022-11-10	u2022-11-10-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2022 autumn, meeting 16, day 3, 2022-11-10 [ParlaMint]	2022-11-10	Unicameralism	9. ciklus	-	16. ülés	3. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 9th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2022-11-10	u2022-11-10-11	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2022 autumn, meeting 16, day 3, 2022-11-10 [ParlaMint]	2022-11-10	Unicameralism	9. ciklus	-	16. ülés	3. ülésnap	-	COVID,War	English	Regular	MP	notMinister	Momentum-frakció	Parliamentary group of the Momentum Movement in the 9th parliamentary term	Opposition	Centre	GelencserFerenc	Gelencsér, Ferenc	M	1990	
ParlaMint-HU-en_2022-11-10	u2022-11-10-12	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2022 autumn, meeting 16, day 3, 2022-11-10 [ParlaMint]	2022-11-10	Unicameralism	9. ciklus	-	16. ülés	3. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 9th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
