Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2014-06-06	u2014-06-06-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 6, day 1, 2014-06-06 [ParlaMint.ana]	2014-06-06	Unicameralism	7. ciklus	-	6. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2014-06-06	u2014-06-06-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 6, day 1, 2014-06-06 [ParlaMint.ana]	2014-06-06	Unicameralism	7. ciklus	-	6. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	SzucsLajos	Szűcs, Lajos	M	1964	
ParlaMint-HU-en_2014-06-06	u2014-06-06-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 6, day 1, 2014-06-06 [ParlaMint.ana]	2014-06-06	Unicameralism	7. ciklus	-	6. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2014-06-06	u2014-06-06-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 6, day 1, 2014-06-06 [ParlaMint.ana]	2014-06-06	Unicameralism	7. ciklus	-	6. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	OrbanViktor	Orbán, Viktor	M	1963	
ParlaMint-HU-en_2014-06-06	u2014-06-06-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 6, day 1, 2014-06-06 [ParlaMint.ana]	2014-06-06	Unicameralism	7. ciklus	-	6. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2014-06-06	u2014-06-06-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 6, day 1, 2014-06-06 [ParlaMint.ana]	2014-06-06	Unicameralism	7. ciklus	-	6. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	SzucsLajos	Szűcs, Lajos	M	1964	
ParlaMint-HU-en_2014-06-06	u2014-06-06-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 6, day 1, 2014-06-06 [ParlaMint.ana]	2014-06-06	Unicameralism	7. ciklus	-	6. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2014-06-06	u2014-06-06-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 6, day 1, 2014-06-06 [ParlaMint.ana]	2014-06-06	Unicameralism	7. ciklus	-	6. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2014-06-06	u2014-06-06-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 6, day 1, 2014-06-06 [ParlaMint.ana]	2014-06-06	Unicameralism	7. ciklus	-	6. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	NovakElod	Novák, Előd	M	1980	
ParlaMint-HU-en_2014-06-06	u2014-06-06-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2014 spring, meeting 6, day 1, 2014-06-06 [ParlaMint.ana]	2014-06-06	Unicameralism	7. ciklus	-	6. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
