Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2017-04-24	u2017-04-24-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 77, day 4, 2017-04-24 [ParlaMint.ana]	2017-04-24	Unicameralism	7. ciklus	-	77. ülés	4. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2017-04-24	u2017-04-24-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 77, day 4, 2017-04-24 [ParlaMint.ana]	2017-04-24	Unicameralism	7. ciklus	-	77. ülés	4. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	FirtlMatyas	Firtl, Mátyás	M	1949	
ParlaMint-HU-en_2017-04-24	u2017-04-24-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 77, day 4, 2017-04-24 [ParlaMint.ana]	2017-04-24	Unicameralism	7. ciklus	-	77. ülés	4. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2017-04-24	u2017-04-24-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 77, day 4, 2017-04-24 [ParlaMint.ana]	2017-04-24	Unicameralism	7. ciklus	-	77. ülés	4. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	AradszkiAndras	Aradszki, András	M	1956	
ParlaMint-HU-en_2017-04-24	u2017-04-24-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 77, day 4, 2017-04-24 [ParlaMint.ana]	2017-04-24	Unicameralism	7. ciklus	-	77. ülés	4. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2017-04-24	u2017-04-24-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 77, day 4, 2017-04-24 [ParlaMint.ana]	2017-04-24	Unicameralism	7. ciklus	-	77. ülés	4. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	VargaLaszlo	Varga, László	M	1979	
ParlaMint-HU-en_2017-04-24	u2017-04-24-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 77, day 4, 2017-04-24 [ParlaMint.ana]	2017-04-24	Unicameralism	7. ciklus	-	77. ülés	4. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2017-04-24	u2017-04-24-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 77, day 4, 2017-04-24 [ParlaMint.ana]	2017-04-24	Unicameralism	7. ciklus	-	77. ülés	4. ülésnap	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	TallaiAndras	Tállai, András	M	1959	
ParlaMint-HU-en_2017-04-24	u2017-04-24-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 77, day 4, 2017-04-24 [ParlaMint.ana]	2017-04-24	Unicameralism	7. ciklus	-	77. ülés	4. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2017-04-24	u2017-04-24-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 77, day 4, 2017-04-24 [ParlaMint.ana]	2017-04-24	Unicameralism	7. ciklus	-	77. ülés	4. ülésnap	-	Reference	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 7th parliamentary term	Opposition	Centre to centre-left	HadhazyAkos	Hadházy, Ákos Ányos	M	1974	
ParlaMint-HU-en_2017-04-24	u2017-04-24-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 77, day 4, 2017-04-24 [ParlaMint.ana]	2017-04-24	Unicameralism	7. ciklus	-	77. ülés	4. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2017-04-24	u2017-04-24-11	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 77, day 4, 2017-04-24 [ParlaMint.ana]	2017-04-24	Unicameralism	7. ciklus	-	77. ülés	4. ülésnap	-	Reference	English	Regular	notMP	notMinister	Fidesz	Fidesz – Hungarian Civic Alliance	-	Right to far-right	DomotorCsaba	Dömötör, Csaba	M	1982	
ParlaMint-HU-en_2017-04-24	u2017-04-24-12	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 77, day 4, 2017-04-24 [ParlaMint.ana]	2017-04-24	Unicameralism	7. ciklus	-	77. ülés	4. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2017-04-24	u2017-04-24-13	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 77, day 4, 2017-04-24 [ParlaMint.ana]	2017-04-24	Unicameralism	7. ciklus	-	77. ülés	4. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	ZKarpatDaniel	Z. Kárpát, Dániel	M	1979	
ParlaMint-HU-en_2017-04-24	u2017-04-24-14	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 77, day 4, 2017-04-24 [ParlaMint.ana]	2017-04-24	Unicameralism	7. ciklus	-	77. ülés	4. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2017-04-24	u2017-04-24-15	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 77, day 4, 2017-04-24 [ParlaMint.ana]	2017-04-24	Unicameralism	7. ciklus	-	77. ülés	4. ülésnap	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	TallaiAndras	Tállai, András	M	1959	
ParlaMint-HU-en_2017-04-24	u2017-04-24-16	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 77, day 4, 2017-04-24 [ParlaMint.ana]	2017-04-24	Unicameralism	7. ciklus	-	77. ülés	4. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2017-04-24	u2017-04-24-17	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 77, day 4, 2017-04-24 [ParlaMint.ana]	2017-04-24	Unicameralism	7. ciklus	-	77. ülés	4. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	NemethSzilard	Németh, Szilárd István	M	1964	
ParlaMint-HU-en_2017-04-24	u2017-04-24-18	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 77, day 4, 2017-04-24 [ParlaMint.ana]	2017-04-24	Unicameralism	7. ciklus	-	77. ülés	4. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2017-04-24	u2017-04-24-19	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 77, day 4, 2017-04-24 [ParlaMint.ana]	2017-04-24	Unicameralism	7. ciklus	-	77. ülés	4. ülésnap	-	Reference	English	Regular	notMP	notMinister	Fidesz	Fidesz – Hungarian Civic Alliance	-	Right to far-right	DomotorCsaba	Dömötör, Csaba	M	1982	
ParlaMint-HU-en_2017-04-24	u2017-04-24-20	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 77, day 4, 2017-04-24 [ParlaMint.ana]	2017-04-24	Unicameralism	7. ciklus	-	77. ülés	4. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2017-04-24	u2017-04-24-21	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 77, day 4, 2017-04-24 [ParlaMint.ana]	2017-04-24	Unicameralism	7. ciklus	-	77. ülés	4. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	GelencserAttila	Gelencsér, Attila	M	1968	
