Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2017-06-15	u2017-06-15-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 81, day 4, 2017-06-15 [ParlaMint.ana]	2017-06-15	Unicameralism	7. ciklus	-	81. ülés	4. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2017-06-15	u2017-06-15-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 81, day 4, 2017-06-15 [ParlaMint.ana]	2017-06-15	Unicameralism	7. ciklus	-	81. ülés	4. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2017-06-15	u2017-06-15-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 81, day 4, 2017-06-15 [ParlaMint.ana]	2017-06-15	Unicameralism	7. ciklus	-	81. ülés	4. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	GelencserAttila	Gelencsér, Attila	M	1968	
ParlaMint-HU-en_2017-06-15	u2017-06-15-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 81, day 4, 2017-06-15 [ParlaMint.ana]	2017-06-15	Unicameralism	7. ciklus	-	81. ülés	4. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2017-06-15	u2017-06-15-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 81, day 4, 2017-06-15 [ParlaMint.ana]	2017-06-15	Unicameralism	7. ciklus	-	81. ülés	4. ülésnap	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	KovacsArpad	Kovács, Árpád	M	1948	
ParlaMint-HU-en_2017-06-15	u2017-06-15-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 81, day 4, 2017-06-15 [ParlaMint.ana]	2017-06-15	Unicameralism	7. ciklus	-	81. ülés	4. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2017-06-15	u2017-06-15-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 81, day 4, 2017-06-15 [ParlaMint.ana]	2017-06-15	Unicameralism	7. ciklus	-	81. ülés	4. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	BangoneBorbelyIldiko	Bangóné Borbély, Ildikó	F	1972	
ParlaMint-HU-en_2017-06-15	u2017-06-15-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 81, day 4, 2017-06-15 [ParlaMint.ana]	2017-06-15	Unicameralism	7. ciklus	-	81. ülés	4. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2017-06-15	u2017-06-15-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 81, day 4, 2017-06-15 [ParlaMint.ana]	2017-06-15	Unicameralism	7. ciklus	-	81. ülés	4. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	SzavayIstvan	Szávay, István	M	1981	
ParlaMint-HU-en_2017-06-15	u2017-06-15-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 81, day 4, 2017-06-15 [ParlaMint.ana]	2017-06-15	Unicameralism	7. ciklus	-	81. ülés	4. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
