Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2023-06-14	u2023-06-14-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 26, day 3, 2023-06-14 [ParlaMint]	2023-06-14	Unicameralism	9. ciklus	-	26. ülés	3. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 9th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2023-06-14	u2023-06-14-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 26, day 3, 2023-06-14 [ParlaMint]	2023-06-14	Unicameralism	9. ciklus	-	26. ülés	3. ülésnap	-	COVID,War	English	Guest	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 9th parliamentary term	Coalition	Right	MihalffyBela	Mihállfy, Béla	M	1970	
ParlaMint-HU-en_2023-06-14	u2023-06-14-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 26, day 3, 2023-06-14 [ParlaMint]	2023-06-14	Unicameralism	9. ciklus	-	26. ülés	3. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 9th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2023-06-14	u2023-06-14-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 26, day 3, 2023-06-14 [ParlaMint]	2023-06-14	Unicameralism	9. ciklus	-	26. ülés	3. ülésnap	-	COVID,War	English	Guest	notMP	notMinister	-	-	-	-	TallaiAndras	Tállai, András	M	1959	
ParlaMint-HU-en_2023-06-14	u2023-06-14-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 26, day 3, 2023-06-14 [ParlaMint]	2023-06-14	Unicameralism	9. ciklus	-	26. ülés	3. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 9th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2023-06-14	u2023-06-14-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 26, day 3, 2023-06-14 [ParlaMint]	2023-06-14	Unicameralism	9. ciklus	-	26. ülés	3. ülésnap	-	COVID,War	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 9th parliamentary term	Coalition	Right to far-right	NemethSzilard	Németh, Szilárd István	M	1964	
ParlaMint-HU-en_2023-06-14	u2023-06-14-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 26, day 3, 2023-06-14 [ParlaMint]	2023-06-14	Unicameralism	9. ciklus	-	26. ülés	3. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 9th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2023-06-14	u2023-06-14-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 26, day 3, 2023-06-14 [ParlaMint]	2023-06-14	Unicameralism	9. ciklus	-	26. ülés	3. ülésnap	-	COVID,War	English	Regular	MP	notMinister	DK-frakció	Parliamentary group of the Democratic Coalition in the 9th parliamentary term	Opposition	Centre-left	DavidFerenc	Dávid, Ferenc	M	1955	
ParlaMint-HU-en_2023-06-14	u2023-06-14-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 26, day 3, 2023-06-14 [ParlaMint]	2023-06-14	Unicameralism	9. ciklus	-	26. ülés	3. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 9th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2023-06-14	u2023-06-14-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 26, day 3, 2023-06-14 [ParlaMint]	2023-06-14	Unicameralism	9. ciklus	-	26. ülés	3. ülésnap	-	COVID,War	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 9th parliamentary term	Coalition	Right	NacsaLorinc	Nacsa, Lőrinc	M	1990	
ParlaMint-HU-en_2023-06-14	u2023-06-14-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 26, day 3, 2023-06-14 [ParlaMint]	2023-06-14	Unicameralism	9. ciklus	-	26. ülés	3. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 9th parliamentary term	Coalition	Right to far-right	LezsakSandor	Lezsák, Sándor	M	1949	
ParlaMint-HU-en_2023-06-14	u2023-06-14-11	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 spring, meeting 26, day 3, 2023-06-14 [ParlaMint]	2023-06-14	Unicameralism	9. ciklus	-	26. ülés	3. ülésnap	-	COVID,War	English	Regular	MP	notMinister	Momentum-frakció	Parliamentary group of the Momentum Movement in the 9th parliamentary term	Opposition	Centre	HajnalMiklos	Hajnal, Miklós	M	1995	
