Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2020-11-10	u2020-11-10-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 autumn, meeting 60, day 1, 2020-11-10 [ParlaMint.ana]	2020-11-10	Unicameralism	8. ciklus	-	60. ülés	1. ülésnap	-	COVID	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2020-11-10	u2020-11-10-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 autumn, meeting 60, day 1, 2020-11-10 [ParlaMint.ana]	2020-11-10	Unicameralism	8. ciklus	-	60. ülés	1. ülésnap	-	COVID	English	Regular	MP	notMinister	Párbeszéd-frakció	Parliamentary group of the Dialogue for Hungary in the 8th parliamentary term	Opposition	Centre-left to left	SzaboTimea	Szabó, Tímea	F	1976	
ParlaMint-HU-en_2020-11-10	u2020-11-10-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 autumn, meeting 60, day 1, 2020-11-10 [ParlaMint.ana]	2020-11-10	Unicameralism	8. ciklus	-	60. ülés	1. ülésnap	-	COVID	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2020-11-10	u2020-11-10-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 autumn, meeting 60, day 1, 2020-11-10 [ParlaMint.ana]	2020-11-10	Unicameralism	8. ciklus	-	60. ülés	1. ülésnap	-	COVID	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	DomotorCsaba	Dömötör, Csaba	M	1982	
ParlaMint-HU-en_2020-11-10	u2020-11-10-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 autumn, meeting 60, day 1, 2020-11-10 [ParlaMint.ana]	2020-11-10	Unicameralism	8. ciklus	-	60. ülés	1. ülésnap	-	COVID	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2020-11-10	u2020-11-10-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 autumn, meeting 60, day 1, 2020-11-10 [ParlaMint.ana]	2020-11-10	Unicameralism	8. ciklus	-	60. ülés	1. ülésnap	-	COVID	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	DomotorCsaba	Dömötör, Csaba	M	1982	
ParlaMint-HU-en_2020-11-10	u2020-11-10-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 autumn, meeting 60, day 1, 2020-11-10 [ParlaMint.ana]	2020-11-10	Unicameralism	8. ciklus	-	60. ülés	1. ülésnap	-	COVID	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2020-11-10	u2020-11-10-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 autumn, meeting 60, day 1, 2020-11-10 [ParlaMint.ana]	2020-11-10	Unicameralism	8. ciklus	-	60. ülés	1. ülésnap	-	COVID	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 8th parliamentary term	Opposition	Centre to centre-left	KeresztesLaszloLorant	Keresztes, László Lóránt	M	1975	
ParlaMint-HU-en_2020-11-10	u2020-11-10-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 autumn, meeting 60, day 1, 2020-11-10 [ParlaMint.ana]	2020-11-10	Unicameralism	8. ciklus	-	60. ülés	1. ülésnap	-	COVID	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2020-11-10	u2020-11-10-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 autumn, meeting 60, day 1, 2020-11-10 [ParlaMint.ana]	2020-11-10	Unicameralism	8. ciklus	-	60. ülés	1. ülésnap	-	COVID	English	Guest	notMP	notMinister	KDNP	Christian Democratic People's Party	-	Right	SchandaTamasJanos	Schanda, Tamás János	M	1987	
