Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2023-07-07	u2023-07-07-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 summer, meeting 28, day 3, 2023-07-07 [ParlaMint]	2023-07-07	Unicameralism	9. ciklus	-	28. ülés	3. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 9th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2023-07-07	u2023-07-07-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 summer, meeting 28, day 3, 2023-07-07 [ParlaMint]	2023-07-07	Unicameralism	9. ciklus	-	28. ülés	3. ülésnap	-	COVID,War	English	Guest	notMP	notMinister	-	-	-	-	KovacsArpad	Kovács, Árpád	M	1948	
ParlaMint-HU-en_2023-07-07	u2023-07-07-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 summer, meeting 28, day 3, 2023-07-07 [ParlaMint]	2023-07-07	Unicameralism	9. ciklus	-	28. ülés	3. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 9th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2023-07-07	u2023-07-07-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 summer, meeting 28, day 3, 2023-07-07 [ParlaMint]	2023-07-07	Unicameralism	9. ciklus	-	28. ülés	3. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 9th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2023-07-07	u2023-07-07-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 summer, meeting 28, day 3, 2023-07-07 [ParlaMint]	2023-07-07	Unicameralism	9. ciklus	-	28. ülés	3. ülésnap	-	COVID,War	English	Regular	MP	notMinister	Mi Hazánk-frakció	Parliamentary group of the Our Homeland Movement in the 9th parliamentary term	Opposition	Far-right	NovakElod	Novák, Előd	M	1980	
ParlaMint-HU-en_2023-07-07	u2023-07-07-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 summer, meeting 28, day 3, 2023-07-07 [ParlaMint]	2023-07-07	Unicameralism	9. ciklus	-	28. ülés	3. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 9th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2023-07-07	u2023-07-07-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 summer, meeting 28, day 3, 2023-07-07 [ParlaMint]	2023-07-07	Unicameralism	9. ciklus	-	28. ülés	3. ülésnap	-	COVID,War	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 9th parliamentary term	Coalition	Right to far-right	VitalyosEszter	Vitályos, Eszter Zsuzsanna	F	1979	
ParlaMint-HU-en_2023-07-07	u2023-07-07-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 summer, meeting 28, day 3, 2023-07-07 [ParlaMint]	2023-07-07	Unicameralism	9. ciklus	-	28. ülés	3. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 9th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2023-07-07	u2023-07-07-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 summer, meeting 28, day 3, 2023-07-07 [ParlaMint]	2023-07-07	Unicameralism	9. ciklus	-	28. ülés	3. ülésnap	-	COVID,War	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the LMP – Hungary's Green Party in the 9th parliamentary term	Opposition	Centre to centre-left	KeresztesLaszloLorant	Keresztes, László Lóránt	M	1975	
ParlaMint-HU-en_2023-07-07	u2023-07-07-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 summer, meeting 28, day 3, 2023-07-07 [ParlaMint]	2023-07-07	Unicameralism	9. ciklus	-	28. ülés	3. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 9th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2023-07-07	u2023-07-07-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 summer, meeting 28, day 3, 2023-07-07 [ParlaMint]	2023-07-07	Unicameralism	9. ciklus	-	28. ülés	3. ülésnap	-	COVID,War	English	Regular	MP	notMinister	JOBBIK	Movement for a Better Hungary	-	Centre-right	JakabPeter	Jakab, Péter	M	1980	
ParlaMint-HU-en_2023-07-07	u2023-07-07-11	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 summer, meeting 28, day 3, 2023-07-07 [ParlaMint]	2023-07-07	Unicameralism	9. ciklus	-	28. ülés	3. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 9th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2023-07-07	u2023-07-07-12	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 summer, meeting 28, day 3, 2023-07-07 [ParlaMint]	2023-07-07	Unicameralism	9. ciklus	-	28. ülés	3. ülésnap	-	COVID,War	English	Regular	MP	notMinister	JOBBIK	Movement for a Better Hungary	-	Centre-right	JakabPeter	Jakab, Péter	M	1980	
ParlaMint-HU-en_2023-07-07	u2023-07-07-13	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 summer, meeting 28, day 3, 2023-07-07 [ParlaMint]	2023-07-07	Unicameralism	9. ciklus	-	28. ülés	3. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 9th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2023-07-07	u2023-07-07-14	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 summer, meeting 28, day 3, 2023-07-07 [ParlaMint]	2023-07-07	Unicameralism	9. ciklus	-	28. ülés	3. ülésnap	-	COVID,War	English	Regular	MP	notMinister	JOBBIK	Movement for a Better Hungary	-	Centre-right	JakabPeter	Jakab, Péter	M	1980	
ParlaMint-HU-en_2023-07-07	u2023-07-07-15	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 summer, meeting 28, day 3, 2023-07-07 [ParlaMint]	2023-07-07	Unicameralism	9. ciklus	-	28. ülés	3. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 9th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2023-07-07	u2023-07-07-16	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 summer, meeting 28, day 3, 2023-07-07 [ParlaMint]	2023-07-07	Unicameralism	9. ciklus	-	28. ülés	3. ülésnap	-	COVID,War	English	Regular	MP	notMinister	JOBBIK	Movement for a Better Hungary	-	Centre-right	JakabPeter	Jakab, Péter	M	1980	
ParlaMint-HU-en_2023-07-07	u2023-07-07-17	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 summer, meeting 28, day 3, 2023-07-07 [ParlaMint]	2023-07-07	Unicameralism	9. ciklus	-	28. ülés	3. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 9th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2023-07-07	u2023-07-07-18	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 summer, meeting 28, day 3, 2023-07-07 [ParlaMint]	2023-07-07	Unicameralism	9. ciklus	-	28. ülés	3. ülésnap	-	COVID,War	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 9th parliamentary term	Coalition	Right to far-right	NyitraiZsolt	Nyitrai, Zsolt	M	1977	
ParlaMint-HU-en_2023-07-07	u2023-07-07-19	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 summer, meeting 28, day 3, 2023-07-07 [ParlaMint]	2023-07-07	Unicameralism	9. ciklus	-	28. ülés	3. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 9th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2023-07-07	u2023-07-07-20	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 summer, meeting 28, day 3, 2023-07-07 [ParlaMint]	2023-07-07	Unicameralism	9. ciklus	-	28. ülés	3. ülésnap	-	COVID,War	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 9th parliamentary term	Opposition	Centre-right	ZKarpatDaniel	Z. Kárpát, Dániel	M	1979	
ParlaMint-HU-en_2023-07-07	u2023-07-07-21	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 summer, meeting 28, day 3, 2023-07-07 [ParlaMint]	2023-07-07	Unicameralism	9. ciklus	-	28. ülés	3. ülésnap	-	COVID,War	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 9th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2023-07-07	u2023-07-07-22	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2023 summer, meeting 28, day 3, 2023-07-07 [ParlaMint]	2023-07-07	Unicameralism	9. ciklus	-	28. ülés	3. ülésnap	-	COVID,War	English	Regular	MP	notMinister	Mi Hazánk-frakció	Parliamentary group of the Our Homeland Movement in the 9th parliamentary term	Opposition	Far-right	DocsDavid	Dócs, Dávid	M	1987	
