Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2016-04-13	u2016-04-13-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 56, day 3, 2016-04-13 [ParlaMint.ana]	2016-04-13	Unicameralism	7. ciklus	-	56. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2016-04-13	u2016-04-13-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 56, day 3, 2016-04-13 [ParlaMint.ana]	2016-04-13	Unicameralism	7. ciklus	-	56. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	KaraAkos	Kara, Ákos	M	1975	
ParlaMint-HU-en_2016-04-13	u2016-04-13-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 56, day 3, 2016-04-13 [ParlaMint.ana]	2016-04-13	Unicameralism	7. ciklus	-	56. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2016-04-13	u2016-04-13-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 56, day 3, 2016-04-13 [ParlaMint.ana]	2016-04-13	Unicameralism	7. ciklus	-	56. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	ToroGabor	Törő, Gábor	M	1962	
ParlaMint-HU-en_2016-04-13	u2016-04-13-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 56, day 3, 2016-04-13 [ParlaMint.ana]	2016-04-13	Unicameralism	7. ciklus	-	56. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2016-04-13	u2016-04-13-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 56, day 3, 2016-04-13 [ParlaMint.ana]	2016-04-13	Unicameralism	7. ciklus	-	56. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	VelezArpad	Velez, Árpád	M	1977	
ParlaMint-HU-en_2016-04-13	u2016-04-13-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 56, day 3, 2016-04-13 [ParlaMint.ana]	2016-04-13	Unicameralism	7. ciklus	-	56. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2016-04-13	u2016-04-13-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 56, day 3, 2016-04-13 [ParlaMint.ana]	2016-04-13	Unicameralism	7. ciklus	-	56. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	NovakElod	Novák, Előd	M	1980	
ParlaMint-HU-en_2016-04-13	u2016-04-13-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 56, day 3, 2016-04-13 [ParlaMint.ana]	2016-04-13	Unicameralism	7. ciklus	-	56. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2016-04-13	u2016-04-13-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 56, day 3, 2016-04-13 [ParlaMint.ana]	2016-04-13	Unicameralism	7. ciklus	-	56. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	VejkeyImre	Vejkey, Imre	M	1964	
ParlaMint-HU-en_2016-04-13	u2016-04-13-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 56, day 3, 2016-04-13 [ParlaMint.ana]	2016-04-13	Unicameralism	7. ciklus	-	56. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2016-04-13	u2016-04-13-11	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 56, day 3, 2016-04-13 [ParlaMint.ana]	2016-04-13	Unicameralism	7. ciklus	-	56. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 7th parliamentary term	Opposition	Centre to centre-left	IkotityIstvan	Ikotity, István	M	1977	
ParlaMint-HU-en_2016-04-13	u2016-04-13-12	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 56, day 3, 2016-04-13 [ParlaMint.ana]	2016-04-13	Unicameralism	7. ciklus	-	56. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2016-04-13	u2016-04-13-13	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 56, day 3, 2016-04-13 [ParlaMint.ana]	2016-04-13	Unicameralism	7. ciklus	-	56. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	NovakElod	Novák, Előd	M	1980	
ParlaMint-HU-en_2016-04-13	u2016-04-13-14	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 56, day 3, 2016-04-13 [ParlaMint.ana]	2016-04-13	Unicameralism	7. ciklus	-	56. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2016-04-13	u2016-04-13-15	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 56, day 3, 2016-04-13 [ParlaMint.ana]	2016-04-13	Unicameralism	7. ciklus	-	56. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	KaraAkos	Kara, Ákos	M	1975	
