Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2016-08-22	u2016-08-22-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 62, day 1, 2016-08-22 [ParlaMint.ana]	2016-08-22	Unicameralism	7. ciklus	-	62. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2016-08-22	u2016-08-22-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 62, day 1, 2016-08-22 [ParlaMint.ana]	2016-08-22	Unicameralism	7. ciklus	-	62. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 7th parliamentary term	Opposition	Centre to centre-left	SzelBernadett	Szél, Bernadett	F	1977	
ParlaMint-HU-en_2016-08-22	u2016-08-22-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 62, day 1, 2016-08-22 [ParlaMint.ana]	2016-08-22	Unicameralism	7. ciklus	-	62. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2016-08-22	u2016-08-22-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 62, day 1, 2016-08-22 [ParlaMint.ana]	2016-08-22	Unicameralism	7. ciklus	-	62. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	VolnerPal	Völner, Pál	M	1962	
ParlaMint-HU-en_2016-08-22	u2016-08-22-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 62, day 1, 2016-08-22 [ParlaMint.ana]	2016-08-22	Unicameralism	7. ciklus	-	62. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2016-08-22	u2016-08-22-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 62, day 1, 2016-08-22 [ParlaMint.ana]	2016-08-22	Unicameralism	7. ciklus	-	62. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	SzakacsLaszlo	Szakács, László	M	1975	
ParlaMint-HU-en_2016-08-22	u2016-08-22-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 62, day 1, 2016-08-22 [ParlaMint.ana]	2016-08-22	Unicameralism	7. ciklus	-	62. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2016-08-22	u2016-08-22-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 62, day 1, 2016-08-22 [ParlaMint.ana]	2016-08-22	Unicameralism	7. ciklus	-	62. ülés	1. ülésnap	-	Reference	English	Regular	notMP	notMinister	Fidesz	Fidesz – Hungarian Civic Alliance	-	Right to far-right	DomotorCsaba	Dömötör, Csaba	M	1982	
ParlaMint-HU-en_2016-08-22	u2016-08-22-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 62, day 1, 2016-08-22 [ParlaMint.ana]	2016-08-22	Unicameralism	7. ciklus	-	62. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2016-08-22	u2016-08-22-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 62, day 1, 2016-08-22 [ParlaMint.ana]	2016-08-22	Unicameralism	7. ciklus	-	62. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	HalaszJanos	Halász, János	M	1963	
ParlaMint-HU-en_2016-08-22	u2016-08-22-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 62, day 1, 2016-08-22 [ParlaMint.ana]	2016-08-22	Unicameralism	7. ciklus	-	62. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2016-08-22	u2016-08-22-11	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 62, day 1, 2016-08-22 [ParlaMint.ana]	2016-08-22	Unicameralism	7. ciklus	-	62. ülés	1. ülésnap	-	Reference	English	Regular	notMP	notMinister	Fidesz	Fidesz – Hungarian Civic Alliance	-	Right to far-right	DomotorCsaba	Dömötör, Csaba	M	1982	
ParlaMint-HU-en_2016-08-22	u2016-08-22-12	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 62, day 1, 2016-08-22 [ParlaMint.ana]	2016-08-22	Unicameralism	7. ciklus	-	62. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2016-08-22	u2016-08-22-13	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 62, day 1, 2016-08-22 [ParlaMint.ana]	2016-08-22	Unicameralism	7. ciklus	-	62. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	RubovszkyGyorgy	Rubovszky, György	M	1944	
ParlaMint-HU-en_2016-08-22	u2016-08-22-14	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 62, day 1, 2016-08-22 [ParlaMint.ana]	2016-08-22	Unicameralism	7. ciklus	-	62. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2016-08-22	u2016-08-22-15	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 62, day 1, 2016-08-22 [ParlaMint.ana]	2016-08-22	Unicameralism	7. ciklus	-	62. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	VolnerPal	Völner, Pál	M	1962	
ParlaMint-HU-en_2016-08-22	u2016-08-22-16	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 62, day 1, 2016-08-22 [ParlaMint.ana]	2016-08-22	Unicameralism	7. ciklus	-	62. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2016-08-22	u2016-08-22-17	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 62, day 1, 2016-08-22 [ParlaMint.ana]	2016-08-22	Unicameralism	7. ciklus	-	62. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	SzavayIstvan	Szávay, István	M	1981	
ParlaMint-HU-en_2016-08-22	u2016-08-22-18	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 62, day 1, 2016-08-22 [ParlaMint.ana]	2016-08-22	Unicameralism	7. ciklus	-	62. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2016-08-22	u2016-08-22-19	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 62, day 1, 2016-08-22 [ParlaMint.ana]	2016-08-22	Unicameralism	7. ciklus	-	62. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	VolnerPal	Völner, Pál	M	1962	
ParlaMint-HU-en_2016-08-22	u2016-08-22-20	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 62, day 1, 2016-08-22 [ParlaMint.ana]	2016-08-22	Unicameralism	7. ciklus	-	62. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2016-08-22	u2016-08-22-21	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 62, day 1, 2016-08-22 [ParlaMint.ana]	2016-08-22	Unicameralism	7. ciklus	-	62. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	SzucsLajos	Szűcs, Lajos	M	1964	
ParlaMint-HU-en_2016-08-22	u2016-08-22-22	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 62, day 1, 2016-08-22 [ParlaMint.ana]	2016-08-22	Unicameralism	7. ciklus	-	62. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
