Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2021-06-15	u2021-06-15-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-06-15	u2021-06-15-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	Párbeszéd-frakció	Parliamentary group of the Dialogue for Hungary in the 8th parliamentary term	Opposition	Centre-left to left	SzaboTimea	Szabó, Tímea	F	1976	
ParlaMint-HU-en_2021-06-15	u2021-06-15-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-06-15	u2021-06-15-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	DomotorCsaba	Dömötör, Csaba	M	1982	
ParlaMint-HU-en_2021-06-15	u2021-06-15-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-06-15	u2021-06-15-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	DomotorCsaba	Dömötör, Csaba	M	1982	
ParlaMint-HU-en_2021-06-15	u2021-06-15-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-06-15	u2021-06-15-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	DomotorCsaba	Dömötör, Csaba	M	1982	
ParlaMint-HU-en_2021-06-15	u2021-06-15-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-06-15	u2021-06-15-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	DomotorCsaba	Dömötör, Csaba	M	1982	
ParlaMint-HU-en_2021-06-15	u2021-06-15-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-06-15	u2021-06-15-11	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 8th parliamentary term	Opposition	Centre to centre-left	SchmuckErzsebet	Schmuck, Erzsébet	F	1954	
ParlaMint-HU-en_2021-06-15	u2021-06-15-12	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-06-15	u2021-06-15-13	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Guest	notMP	notMinister	KDNP	Christian Democratic People's Party	-	Right	SchandaTamasJanos	Schanda, Tamás János	M	1987	
ParlaMint-HU-en_2021-06-15	u2021-06-15-14	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-06-15	u2021-06-15-15	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	DK-frakció	Parliamentary group of the Democratic Coalition in the 8th parliamentary term	Opposition	Centre-left	VarjuLaszlo	Varju, László	M	1961	
ParlaMint-HU-en_2021-06-15	u2021-06-15-16	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-06-15	u2021-06-15-17	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Regular	notMP	notMinister	Fidesz	Fidesz – Hungarian Civic Alliance	-	Right to far-right	OrbanBalazs	Orbán, Balázs András	M	1986	
ParlaMint-HU-en_2021-06-15	u2021-06-15-18	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-06-15	u2021-06-15-19	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 8th parliamentary term	Opposition	Centre-left	HarangozoTamas	Harangozó, Tamás Attila	M	1979	
ParlaMint-HU-en_2021-06-15	u2021-06-15-20	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-06-15	u2021-06-15-21	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	KontratKaroly	Kontrát, Károly	M	1956	
ParlaMint-HU-en_2021-06-15	u2021-06-15-22	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-06-15	u2021-06-15-23	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 8th parliamentary term	Opposition	Centre-right	ZKarpatDaniel	Z. Kárpát, Dániel	M	1979	
ParlaMint-HU-en_2021-06-15	u2021-06-15-24	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-06-15	u2021-06-15-25	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	ZsigoRobert	Zsigó, Róbert	M	1967	
ParlaMint-HU-en_2021-06-15	u2021-06-15-26	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-06-15	u2021-06-15-27	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	HarrachPeter	Harrach, Péter	M	1947	
ParlaMint-HU-en_2021-06-15	u2021-06-15-28	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-06-15	u2021-06-15-29	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	ZsigoRobert	Zsigó, Róbert	M	1967	
ParlaMint-HU-en_2021-06-15	u2021-06-15-30	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-06-15	u2021-06-15-31	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	HalaszJanos	Halász, János	M	1963	
ParlaMint-HU-en_2021-06-15	u2021-06-15-32	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2021-06-15	u2021-06-15-33	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2021 spring, meeting 76, day 2, 2021-06-15 [ParlaMint.ana]	2021-06-15	Unicameralism	8. ciklus	-	76. ülés	2. ülésnap	-	COVID	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
