Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2018-07-20	u2018-07-20-13	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 summer extraordinary, meeting 9, day 3, 2018-07-20 [ParlaMint.ana]	2018-07-20	Unicameralism	8. ciklus	-	9. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 8th parliamentary term	Opposition	Centre-right	PotocskaneKorosiAnita	Potocskáné Kőrösi, Anita	F	1981	
ParlaMint-HU-en_2018-07-20	u2018-07-20-14	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 summer extraordinary, meeting 9, day 3, 2018-07-20 [ParlaMint.ana]	2018-07-20	Unicameralism	8. ciklus	-	9. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2018-07-20	u2018-07-20-15	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 summer extraordinary, meeting 9, day 3, 2018-07-20 [ParlaMint.ana]	2018-07-20	Unicameralism	8. ciklus	-	9. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 8th parliamentary term	Opposition	Centre-right	SzilagyiGyorgy	Szilágyi, György	M	1966	
ParlaMint-HU-en_2018-07-20	u2018-07-20-16	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 summer extraordinary, meeting 9, day 3, 2018-07-20 [ParlaMint.ana]	2018-07-20	Unicameralism	8. ciklus	-	9. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2018-07-20	u2018-07-20-17	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 summer extraordinary, meeting 9, day 3, 2018-07-20 [ParlaMint.ana]	2018-07-20	Unicameralism	8. ciklus	-	9. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 8th parliamentary term	Opposition	Centre-right	ZKarpatDaniel	Z. Kárpát, Dániel	M	1979	
ParlaMint-HU-en_2018-07-20	u2018-07-20-18	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 summer extraordinary, meeting 9, day 3, 2018-07-20 [ParlaMint.ana]	2018-07-20	Unicameralism	8. ciklus	-	9. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2018-07-20	u2018-07-20-19	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 summer extraordinary, meeting 9, day 3, 2018-07-20 [ParlaMint.ana]	2018-07-20	Unicameralism	8. ciklus	-	9. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 8th parliamentary term	Opposition	Centre-right	AnderBalazs	Ander, Balázs	M	1976	
ParlaMint-HU-en_2018-07-20	u2018-07-20-20	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 summer extraordinary, meeting 9, day 3, 2018-07-20 [ParlaMint.ana]	2018-07-20	Unicameralism	8. ciklus	-	9. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2018-07-20	u2018-07-20-21	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 summer extraordinary, meeting 9, day 3, 2018-07-20 [ParlaMint.ana]	2018-07-20	Unicameralism	8. ciklus	-	9. ülés	3. ülésnap	-	Reference	English	Regular	MP	Minister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	VargaMihaly	Varga, Mihály	M	1965	
ParlaMint-HU-en_2018-07-20	u2018-07-20-22	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 summer extraordinary, meeting 9, day 3, 2018-07-20 [ParlaMint.ana]	2018-07-20	Unicameralism	8. ciklus	-	9. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
