Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2017-05-31	u2017-05-31-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 80, day 3, 2017-05-31 [ParlaMint.ana]	2017-05-31	Unicameralism	7. ciklus	-	80. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2017-05-31	u2017-05-31-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 80, day 3, 2017-05-31 [ParlaMint.ana]	2017-05-31	Unicameralism	7. ciklus	-	80. ülés	3. ülésnap	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	WarvasovszkyTihamer	Warvasovszky, Tihamér	M	1950	
ParlaMint-HU-en_2017-05-31	u2017-05-31-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 80, day 3, 2017-05-31 [ParlaMint.ana]	2017-05-31	Unicameralism	7. ciklus	-	80. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2017-05-31	u2017-05-31-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 80, day 3, 2017-05-31 [ParlaMint.ana]	2017-05-31	Unicameralism	7. ciklus	-	80. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	CzombaSandor	Czomba, Sándor	M	1963	
ParlaMint-HU-en_2017-05-31	u2017-05-31-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 80, day 3, 2017-05-31 [ParlaMint.ana]	2017-05-31	Unicameralism	7. ciklus	-	80. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2017-05-31	u2017-05-31-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 80, day 3, 2017-05-31 [ParlaMint.ana]	2017-05-31	Unicameralism	7. ciklus	-	80. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	WitzmannMihaly	Witzmann, Mihály	M	1977	
ParlaMint-HU-en_2017-05-31	u2017-05-31-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 80, day 3, 2017-05-31 [ParlaMint.ana]	2017-05-31	Unicameralism	7. ciklus	-	80. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2017-05-31	u2017-05-31-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 80, day 3, 2017-05-31 [ParlaMint.ana]	2017-05-31	Unicameralism	7. ciklus	-	80. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	JozsaIstvan	Józsa, István	M	1953	
ParlaMint-HU-en_2017-05-31	u2017-05-31-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 80, day 3, 2017-05-31 [ParlaMint.ana]	2017-05-31	Unicameralism	7. ciklus	-	80. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2017-05-31	u2017-05-31-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 80, day 3, 2017-05-31 [ParlaMint.ana]	2017-05-31	Unicameralism	7. ciklus	-	80. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	JozsaIstvan	Józsa, István	M	1953	
ParlaMint-HU-en_2017-05-31	u2017-05-31-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 80, day 3, 2017-05-31 [ParlaMint.ana]	2017-05-31	Unicameralism	7. ciklus	-	80. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2017-05-31	u2017-05-31-11	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 80, day 3, 2017-05-31 [ParlaMint.ana]	2017-05-31	Unicameralism	7. ciklus	-	80. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2017-05-31	u2017-05-31-12	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 80, day 3, 2017-05-31 [ParlaMint.ana]	2017-05-31	Unicameralism	7. ciklus	-	80. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2017-05-31	u2017-05-31-13	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 80, day 3, 2017-05-31 [ParlaMint.ana]	2017-05-31	Unicameralism	7. ciklus	-	80. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	ZKarpatDaniel	Z. Kárpát, Dániel	M	1979	
ParlaMint-HU-en_2017-05-31	u2017-05-31-14	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 80, day 3, 2017-05-31 [ParlaMint.ana]	2017-05-31	Unicameralism	7. ciklus	-	80. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2017-05-31	u2017-05-31-15	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 80, day 3, 2017-05-31 [ParlaMint.ana]	2017-05-31	Unicameralism	7. ciklus	-	80. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	ZKarpatDaniel	Z. Kárpát, Dániel	M	1979	
ParlaMint-HU-en_2017-05-31	u2017-05-31-16	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 80, day 3, 2017-05-31 [ParlaMint.ana]	2017-05-31	Unicameralism	7. ciklus	-	80. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2017-05-31	u2017-05-31-17	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 80, day 3, 2017-05-31 [ParlaMint.ana]	2017-05-31	Unicameralism	7. ciklus	-	80. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	JozsaIstvan	Józsa, István	M	1953	
ParlaMint-HU-en_2017-05-31	u2017-05-31-18	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 80, day 3, 2017-05-31 [ParlaMint.ana]	2017-05-31	Unicameralism	7. ciklus	-	80. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2017-05-31	u2017-05-31-19	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2017 spring, meeting 80, day 3, 2017-05-31 [ParlaMint.ana]	2017-05-31	Unicameralism	7. ciklus	-	80. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	JozsaIstvan	Józsa, István	M	1953	
